------     testcase/PatternMatch.c     ------

[   1]macro:              #include "PatternMatch.h"
[   2]macro:              #include "ImgUtility.h"
[   3]macro:              #include "ImgProc.h"
[   4]macro:              #include "Motor.h"
[   5]macro:              #include "stdio.h"
[   6]macro:              #include "uart.h"
[   7]macro:              #include "gpio.h"
[  13]identifier:         int32_t
[  13]identifier:         ringDistance
[  13]delimiter:          ;
[  14]reserved word(33):  bool
[  14]identifier:         inRing
[  14]delimiter:          ;
[  15]reserved word(33):  bool
[  15]identifier:         ringEndDelay
[  15]delimiter:          ;
[  17]identifier:         int16_t
[  17]identifier:         barrierType
[  17]delimiter:          ;
[  18]identifier:         int32_t
[  18]identifier:         barrierDistance
[  18]delimiter:          ;
[  19]reserved word(33):  bool
[  19]identifier:         aroundBarrier
[  19]delimiter:          ;
[  21]reserved word(23):  static
[  21]reserved word(33):  bool
[  21]identifier:         IsRing
[  21]operator(40):       (
[  21]reserved word(29):  void
[  21]operator(41):       )
[  21]delimiter:          ;
[  22]reserved word(23):  static
[  22]reserved word(33):  bool
[  22]identifier:         IsRingEnd
[  22]operator(40):       (
[  22]reserved word(29):  void
[  22]operator(41):       )
[  22]delimiter:          ;
[  23]reserved word(23):  static
[  23]identifier:         int16_t
[  23]identifier:         WhichCurve
[  23]operator(40):       (
[  23]reserved word(29):  void
[  23]operator(41):       )
[  23]delimiter:          ;
[  24]reserved word(23):  static
[  24]reserved word(33):  bool
[  24]identifier:         IsCrossRoad
[  24]operator(40):       (
[  24]reserved word(29):  void
[  24]operator(41):       )
[  24]delimiter:          ;
[  25]reserved word(23):  static
[  25]identifier:         int16_t
[  25]identifier:         WhichBarrier
[  25]operator(40):       (
[  25]reserved word(29):  void
[  25]operator(41):       )
[  25]delimiter:          ;
[  26]reserved word(23):  static
[  26]identifier:         int16_t
[  26]identifier:         CrossRoadCompensateOneSide
[  26]operator(40):       (
[  26]identifier:         int16_t
[  26]identifier:         borders
[  26]delimiter:          [
[  26]identifier:         IMG_ROW
[  26]delimiter:          ]
[  26]delimiter:          ,
[  26]identifier:         int16_t
[  26]identifier:         slopes
[  26]delimiter:          [
[  26]identifier:         IMG_ROW
[  26]delimiter:          ]
[  26]delimiter:          ,
[  26]identifier:         int16_t
[  26]identifier:         zeros
[  26]delimiter:          [
[  26]identifier:         IMG_ROW
[  26]delimiter:          ]
[  26]operator(41):       )
[  26]delimiter:          ;
[  28]reserved word(23):  static
[  28]reserved word(32):  inline
[  28]reserved word(12):  float
[  28]identifier:         Abs
[  28]operator(40):       (
[  28]reserved word(12):  float
[  28]operator(41):       )
[  28]delimiter:          ;
[  29]reserved word(23):  static
[  29]reserved word(32):  inline
[  29]reserved word(12):  float
[  29]identifier:         Min
[  29]operator(40):       (
[  29]reserved word(12):  float
[  29]delimiter:          ,
[  29]reserved word(12):  float
[  29]operator(41):       )
[  29]delimiter:          ;
[  30]reserved word(23):  static
[  30]reserved word(32):  inline
[  30]reserved word(12):  float
[  30]identifier:         Max
[  30]operator(40):       (
[  30]reserved word(12):  float
[  30]delimiter:          ,
[  30]reserved word(12):  float
[  30]operator(41):       )
[  30]delimiter:          ;
[  31]reserved word(23):  static
[  31]reserved word(32):  inline
[  31]reserved word(33):  bool
[  31]identifier:         OpstSign
[  31]operator(40):       (
[  31]identifier:         int16_t
[  31]delimiter:          ,
[  31]identifier:         int16_t
[  31]operator(41):       )
[  31]delimiter:          ;
[  32]reserved word(23):  static
[  32]reserved word(32):  inline
[  32]reserved word(33):  bool
[  32]identifier:         InRange
[  32]operator(40):       (
[  32]identifier:         int16_t
[  32]identifier:         value
[  32]delimiter:          ,
[  32]identifier:         int16_t
[  32]identifier:         lbound
[  32]delimiter:          ,
[  32]identifier:         int16_t
[  32]identifier:         hbound
[  32]operator(41):       )
[  32]delimiter:          ;
[  34]reserved word(23):  static
[  34]identifier:         int16_t
[  34]identifier:         black_pt_row
[  34]delimiter:          ;
[  35]reserved word(23):  static
[  35]identifier:         int16_t
[  35]identifier:         last_not_found_border_row
[  35]delimiter:          ;
[  37]reserved word(33):  bool
[  37]identifier:         OutOfRoadJudge
[  37]operator(40):       (
[  37]operator(41):       )
[  37]delimiter:          {
[  38]identifier:         int16_t
[  38]identifier:         cnt
[  38]operator(61):       =
[  38]constant:           0
[  38]delimiter:          ;
[  39]identifier:         int16_t
[  39]identifier:         line
[  39]operator(61):       =
[  39]constant:           0
[  39]delimiter:          ;
[  40]reserved word(13):  for
[  40]operator(40):       (
[  40]identifier:         int16_t
[  40]identifier:         row
[  40]operator(61):       =
[  40]constant:           0
[  40]delimiter:          ;
[  40]identifier:         row
[  40]operator(60):       <
[  40]constant:           10
[  40]delimiter:          ;
[  40]operator(86):       ++
[  40]identifier:         row
[  40]operator(41):       )
[  40]delimiter:          {
[  41]reserved word(13):  for
[  41]operator(40):       (
[  41]identifier:         int16_t
[  41]identifier:         col
[  41]operator(61):       =
[  41]constant:           60
[  41]delimiter:          ;
[  41]identifier:         col
[  41]operator(60):       <
[  41]identifier:         IMG_COL
[  41]operator(45):       -
[  41]constant:           60
[  41]delimiter:          ;
[  41]operator(86):       ++
[  41]identifier:         col
[  41]operator(41):       )
[  41]delimiter:          {
[  42]reserved word(15):  if
[  42]operator(40):       (
[  42]identifier:         IsBlack
[  42]operator(40):       (
[  42]identifier:         row
[  42]delimiter:          ,
[  42]identifier:         col
[  42]operator(41):       )
[  42]operator(41):       )
[  42]delimiter:          {
[  43]operator(86):       ++
[  43]identifier:         cnt
[  43]delimiter:          ;
[  44]delimiter:          }
[  45]delimiter:          }
[  46]reserved word(15):  if
[  46]operator(40):       (
[  46]identifier:         cnt
[  46]operator(123):       >=
[  46]constant:           85
[  46]operator(41):       )
[  46]delimiter:          {
[  47]operator(86):       ++
[  47]identifier:         line
[  47]delimiter:          ;
[  48]reserved word(15):  if
[  48]operator(40):       (
[  48]identifier:         line
[  48]operator(123):       >=
[  48]constant:           4
[  48]operator(41):       )
[  48]delimiter:          {
[  49]reserved word(19):  return
[  49]constant:           true
[  49]delimiter:          ;
[  50]delimiter:          }
[  51]delimiter:          }
[  52]identifier:         cnt
[  52]operator(61):       =
[  52]constant:           0
[  52]delimiter:          ;
[  53]delimiter:          }
[  54]reserved word(19):  return
[  54]constant:           false
[  54]delimiter:          ;
[  55]delimiter:          }
[  57]identifier:         int16_t
[  57]identifier:         GetRoadType
[  57]operator(40):       (
[  57]operator(41):       )
[  57]delimiter:          {
[  58]comment:            // de-warning
[  59]identifier:         Min
[  59]operator(40):       (
[  59]constant:           0
[  59]delimiter:          ,
[  59]constant:           0
[  59]operator(41):       )
[  59]delimiter:          ;
[  61]reserved word(15):  if
[  61]operator(40):       (
[  61]identifier:         ringEndDelay
[  61]operator(41):       )
[  61]delimiter:          {
[  62]reserved word(15):  if
[  62]operator(40):       (
[  62]identifier:         ringDistance
[  62]operator(60):       <
[  62]constant:           10000
[  62]operator(41):       )
[  62]delimiter:          {
[  63]reserved word(19):  return
[  63]identifier:         RingEnd
[  63]delimiter:          ;
[  64]delimiter:          }
[  64]reserved word( 9):  else
[  64]delimiter:          {
[  65]identifier:         ringDistance
[  65]operator(61):       =
[  65]constant:           0
[  65]delimiter:          ;
[  66]identifier:         ringEndDelay
[  66]operator(61):       =
[  66]constant:           false
[  66]delimiter:          ;
[  67]delimiter:          }
[  68]delimiter:          }
[  68]reserved word( 9):  else
[  68]reserved word(15):  if
[  68]operator(40):       (
[  68]identifier:         inRing
[  68]operator(41):       )
[  68]delimiter:          {
[  69]reserved word(15):  if
[  69]operator(40):       (
[  69]identifier:         ringDistance
[  69]operator(62):       >
[  69]constant:           200000
[  69]identifier:         L
[  69]operator(41):       )
[  69]delimiter:          {
[  70]identifier:         ringDistance
[  70]operator(61):       =
[  70]constant:           0
[  70]delimiter:          ;
[  71]identifier:         inRing
[  71]operator(61):       =
[  71]constant:           false
[  71]delimiter:          ;
[  72]delimiter:          }
[  72]reserved word( 9):  else
[  72]reserved word(15):  if
[  72]operator(40):       (
[  72]identifier:         ringDistance
[  72]operator(62):       >
[  72]constant:           25000
[  72]operator(76):       &&
[  72]identifier:         IsRingEnd
[  72]operator(40):       (
[  72]operator(41):       )
[  72]operator(41):       )
[  72]delimiter:          {
[  73]identifier:         ringDistance
[  73]operator(61):       =
[  73]constant:           0
[  73]delimiter:          ;
[  74]identifier:         ringEndDelay
[  74]operator(61):       =
[  74]constant:           true
[  74]delimiter:          ;
[  75]identifier:         inRing
[  75]operator(61):       =
[  75]constant:           false
[  75]delimiter:          ;
[  76]reserved word(19):  return
[  76]identifier:         RingEnd
[  76]delimiter:          ;
[  77]delimiter:          }
[  78]delimiter:          }
[  78]reserved word( 9):  else
[  78]reserved word(15):  if
[  78]operator(40):       (
[  78]identifier:         aroundBarrier
[  78]operator(41):       )
[  78]delimiter:          {
[  79]reserved word(15):  if
[  79]operator(40):       (
[  79]identifier:         barrierDistance
[  79]operator(62):       >
[  79]constant:           5000
[  79]operator(41):       )
[  79]delimiter:          {
[  80]identifier:         barrierDistance
[  80]operator(61):       =
[  80]constant:           0
[  80]delimiter:          ;
[  81]identifier:         aroundBarrier
[  81]operator(61):       =
[  81]constant:           false
[  81]delimiter:          ;
[  82]delimiter:          }
[  82]reserved word( 9):  else
[  82]delimiter:          {
[  83]reserved word(19):  return
[  83]identifier:         barrierType
